event,domain,tld,iso2,region,macro,role,finance_media,community,state_media,government,military,int_org,validated
ukraine,maldonandburnhamstandard.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0
ukraine,manchesterjournal.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,marieclaire.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,markets.businessinsider.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,marketwatch.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,1,0,0,0,0,0,1
ukraine,marshallnews.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mdjonline.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mediaite.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mediakit.orlandoweekly.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,medpagetoday.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,medscape.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,menafn.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mesabitribune.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,messenger-inquirer.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mexicostar.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mirror.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0
ukraine,missoulian.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mitsloan.mit.edu,edu,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0
ukraine,moddb.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,model-engineer.co.uk,uk,GB,Europe & Central Asia,OTHER,PLATFORM,0,0,0,0,0,0,0
ukraine,montgomeryadvertiser.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mortgagenewsdaily.com:443,NA,NA,NA,OTHER,PLATFORM,0,0,0,0,0,0,0
ukraine,moultonadvertiser.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,mrt.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,msn.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
ukraine,multiplesclerosisnewstoday.com,com,GLOBAL,GLOBAL,GLOBAL,PLATFORM,0,0,0,0,0,0,0
